service,unit_basis,rate_cents,daily_cap,identity_rates_cents
Advanced Cardiac Ventilation Support,per_hour,3375,24,2857|3043|3105|3308|3375|3416|3639|3713
Advanced Dermatologic Pharmaceutical Dispensing,per_item,8175,4,6989|7358|7766|8094|8175|8993
Ambulatory Hepatic Case Conference,per_hour,19775,,17847|18786|19725|19775|20289|20764|21357|22425
Ambulatory Metabolic Imaging Interpretation,per_test,3900,,3510|3686|3861|3900|4095|4290
Ambulatory Oncology Imaging Interpretation,per_test,6675,,5527|6008|6018|6141|6542|6675|7209|7850|8010
Ambulatory Paediatric Isolation Room Occupancy,per_day,126525,,120199|123995|126208|130194|132851|138229|139494|142594|152779
Assisted Cardiac Ventilation Support,per_day,156675,,132610|144141|156675|158556|172343
Assisted Hepatic Physiotherapy Session,per_visit,19025,12,16103|17503|19025|21004|22830
Assisted Immunologic Sterilisation Service,per_item,24500,,20286|21609|22540|23153|24010|25725|27048|28812|30870
Assisted Metabolic Endoscopic Procedure,per_procedure,110150,,96271|101338|104643|106405|110150|115107|115658|121165|127223
Assisted Renal Imaging Interpretation,per_procedure,161650,,141282|145744|153568|156154|158417|169733|184281|190100|203679
Bedside Oncology Transfusion Service,per_unit_dispensed,3025,,2587|2669|2859|2874|2965|3176|3305|3409|3653
Bedside Paediatric Consultation,per_procedure,421875,,349313|379688|388125|421875|436640|485156
Comprehensive Gastrointestinal Endoscopic Procedure,per_procedure,141500,,141500
Comprehensive Geriatric Wound Care,per_visit,11725,,10553|11080|11491|12065|12311|12663|12927|13789|14774
Comprehensive Metabolic Ventilation Support,per_day,47650,,47650
Comprehensive Oncology Transfusion Service,per_procedure,414475,8,373028|391679|406186|426495|428981|435199|456959|467113|500478
Comprehensive Ophthalmic Isolation Room Occupancy,per_night,105950,,95620|98640|100653|103831|105686|111248|120783|124597|133497
Comprehensive Palliative Consultation,per_visit,35050,,30634|32246|33298|33858|35050|35961|36803|37854|39747
Continuous Immunologic Laboratory Panel,per_item,7025,,7025
Continuous Metabolic Endoscopic Procedure,per_procedure,550750,,495675|520459|545243|550750|578288|605825
Continuous Otolaryngologic Transport Service,per_item,14675,,12151|13208|13231|14176|14382|15188|15409|16538|17720
Continuous Pulmonary Case Conference,per_hour,4300,,4300
Elective Metabolic Pharmaceutical Dispensing,per_item,28450,,24866|26174|27028|28379|28450|29873|30101|32718|34354
Elective Ophthalmic Nutritional Support,per_day,94300,,82418|86756|87793|89585|92414|93696|94300|99807|101844
Elective Ophthalmic Recovery Room Occupancy,per_night,195975,,155637|163828|172019|172450|176867|176934|181073|186176|186246|195485|195558|195975|201070|205774|211653|222236
Elective Pulmonary Radiotherapy Fraction,per_procedure,353625,,353625
Elective Vascular Diagnostic Imaging,per_procedure,284175,,235297|250643|261441|268546|278492|298384|300657|320265|343141
Emergency Gastrointestinal Endoscopic Procedure,per_procedure,707500,,618355|650900|672125|683445|707500|739338|742875|778250|817163
Emergency Metabolic Discharge Planning,per_visit,20575,,14490|15435|16100|16538|17037|17150|17710|18148|18375|18865|18929|19444|20164|20213|20822|21604|22180|23765
Emergency Neurological Biopsy Procedure,per_procedure,440750,,440750
Emergency Oncology Imaging Interpretation,per_procedure,441250,4,357413|397125|441250|476550|529500
